,Uav1,Uav1_time,Uav2,Uav2_time,Uav3,Uav3_time
0,UavY_P0A10S6_1,2024/11/21 13:50,UavR_P0A40VarS8_1,2024/11/21 13:46,/,/
1,UavY_P0A20S2_2,2024/11/9 14:53,UavR_P200A40VarS2_2,2024/11/9 14:51,/,/
2,UavY_P0A20S2_3,2024/11/9 15:08,UavR_P200A40VarS2_3,2024/11/9 15:11,/,/
3,UavY_P0A20S4_1,2024/11/9 15:27,UavR_P200A40VarS4_1,2024/11/9 15:24,/,/
4,UavY_P0A20S4_2,2024/11/9 15:48,UavR_P200A40VarS4_3,2024/11/9 15:50,/,/
5,UavY_P0A20S6_2,2024/11/9 16:40,UavR_P200A40VarS6_2,2024/11/9 16:37,/,/
6,UavY_P0A20S6_3,2024/11/9 16:55,UavR_P200A40VarS6_3,2024/11/9 16:51,/,/
7,UavY_P0A20S8_3,2024/11/9 17:47,UavR_P200A40VarS8_3,2024/11/9 17:43,/,/
8,UavY_P200A20S8_1,2024/11/29 16:18,UavR_P400VarAVarS8_6,2024/11/29 16:16,/,/
9,UavR_P200VarAVarS8_6,2024/11/29 15:57,UavY_P0Random_2,2024/11/29 15:58,/,/
10,UavR_P0VarAS4_5,2024/11/30 14:20,UavY_P0VarAS4_1,2024/11/30 14:22,/,/
11,UavR_P0VarAS8_5,2024/11/30 14:35,UavY_P0VarAS8_7,2024/11/30 14:34,/,/
12,UavR_P200VarAS4_5,2024/11/30 14:50,UavY_P0Random_3,2024/11/30 14:50,/,/
13,UavR_P200VarAS8_5,2024/11/30 15:04,UavY_P200VarAS4_5,2024/11/30 15:02,/,/
14,UavR_P400VarAS4_5,2024/11/30 15:19,UavY_P200Random_1,2024/11/30 15:19,/,/
15,UavG_P0A10VarS4_1,2024/10/29 13:04,UavY_P200A20VarS8_2,2024/10/29 13:09,/,/
16,UavG_P0A10VarS4_3,2024/10/29 13:56,UavY_P200A20VarS8_3,2024/10/29 13:59,/,/
17,UavG_P0A10VarS6_2,2024/10/29 14:38,UavY_P200A40VarS2_1,2024/10/29 14:35,/,/
18,UavG_P0A10VarS6_3,2024/10/29 14:52,UavY_P200A40VarS2_2,2024/10/29 14:51,/,/
19,UavG_P0A40VarS8_2,2024/11/1 15:47,UavY_P0A10VarS8_1,2024/11/1 15:48,/,/
20,UavG_P200A10VarS2_3,2024/11/1 17:14,UavY_P0A20VarS8_2,2024/11/1 17:10,/,/
21,UavG_P200A10VarS4_1,2024/11/1 17:28,UavY_P0A20VarS8_3,2024/11/1 17:30,/,/
22,UavG_P0A40VarS2_2,2024/10/23 16:00,UavY_P0A10VarS6_2,2024/10/23 16:03,/,/
23,UavG_P0A40VarS2_3,2024/10/23 16:14,UavY_P0A10VarS6_3,2024/10/23 16:17,/,/
24,UavR_P400Random_4,2024/11/22 12:38,UavY_P0Random_1,2024/11/22 12:37,/,/
